0;1;1;-;You are dragged to the floor by the chains. Your muscles bruising as the demonic chains grasp at your lifeforce.
1;2;2;-;As you lie there, tormented by the spell, a silhouette you can't quite make out breaks the cursed chains, ending your suffering.
2;3;3;-;The figure moves closer as you regain your vision.
3;4;4;-;you remain laying down, eyes fixed on the suspicious figure, alerted as a deer in headlights
4;5;132;How do you react? Go for the kill on the figure, (nobody here is trustworthy), or, Wait until the suspicious figure becomes visible?;-
5;6;6;-;Go for the kill on the figure,as nobody here is trustworthy,
6;7;7;-;as the figure draws closer they let down their guard and look away -- precious seconds in which you right hook him, knocking him out.
7;8;8;-;You need to finish him before he wakes
8;9;9;-;You grab the meager blade you brought with you -- and get to work.
9;10;10;-;The stranger appears to have been much better equipped than you, having some magical grimoire as well as a sword.
10;11;11;-;Wielding the magical grimoire seems more than likely to get you killed, so you take your chances with the sword and move onwards.
11;12;14;You walk through the cavern to an intersection, will you take the upper cavern path or the lower? upper(1) or lower(2);-
12;13;13;-;upper -- you take the upper path, it leads you off a cliff. sucks to suck!
13;0;0;YOU HAVE DIED! Try again? (both options will take you to the start of the game);-
14;15;15;-;lower -- The path darkens, the light  weakens, the cave ahead is dark and gloomy, but with great reward.
15;16;16;-;You move forwards with your newly-acquired blade, looking through the dim demonic cave for any possible figures. opponents. enemies?
16;17;17;-;The path splits again, this time to a lower path with the sound of running water, and an upper path with fiery light flickering on the adjacent cavern walls.
17;18;63;which way do you go? upper... or, lower...;-
18;19;19;-;upper...
19;20;20;-;you reach a cavernous room. The perimeter of the room is a square shape, littered with coins and treasures of various sizes, and a demonic figure sitting in the middle of it all.
20;21;21;-;The demonic  figure speaks: "Is that the blade of aeons? yes(1) or no(2)"
21;22;23;is it?;-
22;27;27;-;yes
23;24;24;-;no
24;25;25;-;In an instant, the demon covers the distance between his claws and your organs, disembowling you and watching the blood drain from your body, then throwing your lifeless carcass at the wall with such force that what remained inside your corpse is now covering most of the walls as red paint.
25;26;26;-;Demon:"Traitor"
26;0;0;YOU HAVE DIED! Try again? (both options will take you to the start of the game);-
27;28;28;-;no
28;29;29;-;The demonic figure laughs: "haha good, for I would have had to kill you as a traitor. That is however a mighty fine sword, care to trade it for some gold?"
29;30;58;trade it? (1)yes (2)no;-
30;31;31;-;yes
31;32;32;-;you hand over the sword, and the deon points you to a pouch of gold coins
32;33;33;-;you exclaim to the demon you best be on your way. As you leave the room, you hear the demon laugh and say "theres nowhere to go", which he thoroughly denies doing when questioned.
